player_id,name,age,draft_round,draft_pick,height,weight,season,pred_season,completions,targets,receiving_yards,receiving_tds,adot,receiving_yac,firstdowns_per_tgt,carries,rushing_yards,rushing_tds,rushing_first_downs,tgt_sh,ay_sh,yac_sh,wopr_y,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,fantasy_points_ppr,pred_fantasy_points,pct_increase,breakout
00-0028115,Evan Royster,26,6,12,72,207,2013,,1.00,1,3.00,0.00,-4.00,7.00,0.00,2,0.00,0.00,0.00,0.01,-0.01,0.04242424242424243,0.015377303909414,0,0,0,0.0034883720930232558,0.005581395348837209,0.04054054054054054,0.009052924791086351,1.30,,,0
00-0028159,Da'Rel Scott,23,7,18,71,210,2011,2012,1.00,2,6.50,0.00,4.00,2.50,0.00,5,3.20,0.00,0.20,0.01,0.01,0.0102880658436214,0.02396158463385354,0,0,0,0.005363036303630363,0.008580858085808581,0.08496732026143791,0.007941289227230405,0.97,0.90,-0.07,0
00-0028159,Da'Rel Scott,24,7,18,71,210,2012,2013,0,0,0,0,0,0,0,6,1.50,0.00,0.17,0.00,0.00,0,0,0,0,0,0,0,0,0.008705745792222868,0.90,6.90,6.67,0
00-0028159,Da'Rel Scott,25,7,18,71,210,2013,,0.58,19,5.37,0.05,-0.05,5.89,0.16,20,3.65,0.00,0.15,0.10,0.00,0.20437956204379562,0.15703751090433263,0.14285714285714285,0.05172413793103448,0.06153846153846154,0.1077792485490276,0.08673251196415843,0.56353591160221,0.08965230497375395,6.90,,,0
00-0028163,Anthony Allen,23,7,22,73,223,2011,2012,0,0,0,0,0,0,0,3,2.67,0.00,0.00,0.00,0.00,0,0,0,0,0,0,0,0,0.006336131791541264,0.80,3.83,3.79,0
00-0028163,Anthony Allen,24,7,22,73,223,2012,,0.50,4,3.00,0.00,2.50,3.50,0.25,16,3.81,0.06,0.25,0.02,0.01,0.022950819672131147,0.03414494697665214,0,0.014084507042253521,0.0125,0.0037429819089207735,0.005988771054273238,0.0594059405940594,0.02725717950545144,3.83,,,0
00-0028170,Baron Batch,25,7,29,70,210,2012,,0.80,5,6.20,0.00,4.00,6.00,0.60,25,1.96,0.04,0.16,0.02,0.01,0.02862595419847328,0.03175675675675676,0,0.02727272727272727,0.024,0.007103574702108158,0.011365719523373053,0.10333333333333333,0.023984649824112567,2.25,,,0
00-0028416,Richard Murphy,26,8,32,73,215,2012,,0.00,1,0.00,0.00,4.00,0.00,0.00,23,4.00,0.00,0.13,0.01,0.00,0,0.011073541842772613,0,0,0,0,0,0,0.029804328106777248,2.30,,,0
00-0028565,Armando Allen,22,8,32,68,190,2011,2012,0.00,1,0.00,0.00,0.00,0.00,0.00,15,3.20,0.00,0.20,0.02,0.00,0,0.02830188679245283,0,0,0,0,0,0,0.036535241284822655,2.40,2.44,0.02,0
00-0028565,Armando Allen,23,8,32,68,190,2012,,0.67,3,5.33,0.00,-3.67,7.67,0.00,27,4.59,0.04,0.22,0.01,0.00,0.03582554517133956,0.013024437278192807,0,0,0,0.004624277456647399,0.007398843930635839,0.057971014492753624,0.03387742531567601,2.44,,,0
00-0028602,Brandon Saine,23,8,32,71,220,2011,,0.83,12,5.75,0.00,-0.75,6.42,0.08,18,3.83,0.00,0.06,0.06,-0.01,0.1056241426611797,0.09314504816234921,0,0.0125,0.010101010101010102,0.02005813953488372,0.03209302325581395,0.372972972972973,0.03941702550513415,3.97,,,0
00-0028613,Phillip Tanner,23,8,32,70,208,2011,2012,1.00,2,9.50,0.00,2.00,7.50,1.00,22,3.45,0.05,0.23,0.02,0.00,0.040106951871657755,0.029461619021760213,0,0.046511627906976744,0.0392156862745098,0.010348583877995643,0.01655773420479303,0.16379310344827586,0.047942578488849925,4.38,3.55,-0.19,0
00-0028613,Phillip Tanner,24,8,32,70,208,2012,2013,0.80,5,8.20,0.00,3.00,5.60,0.60,25,2.44,0.00,0.12,0.02,0.01,0.05017921146953405,0.04021335807050093,0,0.03529411764705882,0.03260869565217391,0.012484774665042631,0.01997563946406821,0.18636363636363637,0.028886447780625733,3.55,2.70,-0.24,0
